cum_n_games,season,competition,round,date,team,venue,opponent,result,goals,cum_goals,minutes_played
179,2024,Primera División,Matchweek 14,2024-05-25,Univ Católica,Home,Cobreloa,W,2,111,70
180,2023,Copa Chile,Second Round 2nd leg,2024-06-29,Univ Católica,Home,Wanderers,D,0,111,90
181,2024,Primera División,Matchweek 16,2024-07-20,Univ Católica,Home,La Calera,W,2,113,89
182,2024,Primera División,Matchweek 17,2024-07-28,Univ Católica,Away,Ñublense,W,1,114,90
183,2024,Primera División,Matchweek 18,2024-08-03,Univ Católica,Home,Palestino,D,0,114,90
184,2024,Primera División,Matchweek 19,2024-08-11,Univ Católica,Away,Everton,D,0,114,90
185,2024,Primera División,Matchweek 20,2024-08-18,Univ Católica,Away,Audax Italiano,L,1,115,90
186,2024,Primera División,Matchweek 21,2024-08-25,Univ Católica,Home,Huachipato,W,1,116,82
187,2024,Primera División,Matchweek 22,2024-08-28,Univ Católica,Away,Cobresal,L,1,117,70
188,2024,Primera División,Matchweek 23,2024-08-31,Univ Católica,Home,Iquique,D,0,117,90
189,2024,Primera División,Matchweek 25,2024-09-25,Univ Católica,Home,Deportes Copiapó,W,1,118,90
190,2024,Primera División,Matchweek 26,2024-09-29,Univ Católica,Home,Unión Española,L,0,118,73
191,2024,Primera División,Matchweek 24,2024-10-03,Univ Católica,Away,Colo-Colo,L,0,118,90
192,2024,Primera División,Matchweek 28,2024-10-19,Univ Católica,Home,U de Chile,L,1,119,90
